eName,semimajorAxis,eccentricity,meanRadius,mass_kg,orbit_type
Kari,2.207710000E+07,478,3,2.30E+14,1
Loge,2.306550000E+07,335,3,1.50E+14,1
Skoll,1.766330000E+07,464,3,1.50E+14,1
Surtur,2.292040000E+07,451,3,1.50E+14,1
Anthe,1.977000000E+05,1,1,5.00E+12,1
Jarnsaxa,1.935640000E+07,216,3,1.00E+14,1
Greip,1.844220000E+07,326,3,1.50E+14,1
Tarqeq,1.790990000E+07,0.16,3,2.30E+14,1
Aegaeon,1.675000000E+05,0.0002,0.5,1.00E+11,1
S/2004 S 7,2.100580000E+07,0.58,3,1.50E+14,1
S/2004 S 12,1.986750000E+07,401,3,9.00E+13,1
S/2004 S 13,1.840870000E+07,273,3,1.50E+14,1
S/2004 S 17,1.944990000E+07,259,2,5.00E+13,1
S/2006 S 1,1.879740000E+07,0.13,3,1.00E+14,1
S/2006 S 3,2.210010000E+07,471,3,1.50E+14,1
S/2007 S 2,1.672330000E+07,218,3,1.50E+14,1
S/2007 S 3,1.898190000E+07,0.13,3,1.50E+14,1
S/2009 S 1,1.170000000E+05,0,0.3,1.00E+11,1
Ariel,1.909000000E+05,0.0012,581.1,1.29E+21,1
Umbriel,2.660000000E+05,0.0039,584.7,1.22E+21,1
Titania,4.363000000E+05,0.0011,788.9,3.42E+21,1
Oberon,5.835000000E+05,0.0014,761.4,2.88E+21,1
Miranda,1.299000000E+05,0.0013,240,6.60E+19,1
Cordelia,4.980000000E+04,0.0003,20,4.50E+16,1
Ophelia,5.380000000E+04,0.0099,21,5.40E+16,1
Bianca,5.920000000E+04,0.0009,27,9.20E+16,1
Cressida,6.180000000E+04,0.0004,41,3.40E+17,1
Desdemona,6.270000000E+04,0.0001,35,1.80E+17,1
Juliet,6.440000000E+04,0.0007,53,5.60E+17,1
Portia,6.610000000E+04,0.0001,70,1.70E+18,1
Rosalind,6.990000000E+04,0.0001,36,2.50E+16,1
Belinda,7.530000000E+04,0.0001,45,4.90E+17,1
Puck,8.600000000E+04,0.0001,81,2.90E+18,1
Caliban,7.231100000E+06,0.1812,36,2.50E+17,1
Sycorax,1.217940000E+07,0.5219,75,2.30E+18,1
Prospero,1.627680000E+07,0.4445,25,8.50E+16,1
Setebos,1.742040000E+07,0.5908,24,7.50E+16,1
Stephano,8.007400000E+06,0.2248,16,2.20E+16,1
Trinculo,8.505200000E+06,0.2194,9,3.90E+15,1
Francisco,4.282900000E+06,0.1324,11,7.20E+15,1
Margaret,2.380800000E+07,0.6772,10,5.40E+15,1
Ferdinand,2.043000000E+07,0.3993,10,5.40E+15,1
Perdita,7.641700000E+04,0,13,1.80E+19,1
Mab,9.773600000E+04,0,12,1.00E+16,1
Cupid,7.439200000E+04,0,9,3.80E+15,1
Triton,3.547590000E+05,0.00002,1353.4,2.14E+22,1
Nereid,5.513818000E+06,0.7512,170,3.00E+19,1
Naiad,4.822700000E+04,0.0003,33,2.00E+17,1
Thalassa,5.007400000E+04,0.0002,33,4.00E+17,1
Despina,5.252600000E+04,0.0001,33,2.00E+18,1
Galatea,6.195300000E+04,0.0001,33,2.00E+18,1
Larissa,7.354800000E+04,0.0014,33,5.00E+18,1
Proteus,1.176460000E+05,0.0004,33,5.00E+19,1
Halimede,1.661100000E+07,571,30,2.00E+17,1
Psamathe,4.809600000E+07,0.45,20,2.00E+16,1
Sao,2.222800000E+07,293,20,1.00E+17,1
Laomedeia,2.356700000E+07,424,20,1.00E+17,1
Neso,4.928500000E+07,495,30,1.00E+17,1
